year,age,site,plot,subplot,spp,foliage,f1hr,f10hr,f100hr,f1000hr,height
1960,Old,13-61B,7,4,,0,0,0,0,0,0
1960,Old,13-61B,7,5,,0,0,0,0,0,0
1960,Old,13-61B,7,6,,0,0,0,0,0,0
1960,Old,13-61B,8,1,,0,0,0,0,0,0
1960,Old,13-61B,8,2,,0,0,0,0,0,0
1960,Old,13-61B,8,3,,0,0,0,0,0,0
1960,Old,13-61B,8,4,ABLA,1.599845089,0.639938036,0.679934163,1.039899308,0.039996127,247
1960,Old,13-61B,8,5,ABLA,2.483237043,0.902995288,1.354492932,2.182238613,0.601996859,325
1960,Old,13-61B,8,5,ABLA,0,0,0,0,0,480
1960,Old,13-61B,8,6,ABLA,2.849365579,1.036132938,1.554199407,2.503987933,0.690755292,345
1960,Old,13-61B,9,1,,0,0,0,0,0,0
1960,Old,13-61B,9,2,,0,0,0,0,0,0
1960,Old,13-61B,9,3,,0,0,0,0,0,0
1960,Old,13-61B,9,4,,0,0,0,0,0,0
1960,Old,13-61B,9,5,,0,0,0,0,0,0
1960,Old,13-61B,9,6,,0,0,0,0,0,0
1960,Old,13-61B,10,1,PIEN,1.186311772,0.474524709,0.504182503,0.771102652,0.029657794,223
1960,Old,13-61B,10,2,,0,0,0,0,0,0
1960,Old,13-61B,10,3,,0,0,0,0,0,0
1960,Old,13-61B,10,4,,0,0,0,0,0,0
1960,Old,13-61B,10,5,,0,0,0,0,0,0
1960,Old,13-61B,10,6,,0,0,0,0,0,0
1960,Old,14-F04,1,1,,0,0,0,0,0,0
1960,Old,14-F04,1,2,,0,0,0,0,0,0
1960,Old,14-F04,1,3,,0,0,0,0,0,0
1960,Old,14-F04,1,4,,0,0,0,0,0,0
1960,Old,14-F04,1,5,,0,0,0,0,0,0
1960,Old,14-F04,1,6,,0,0,0,0,0,0
1960,Old,14-F04,2,1,,0,0,0,0,0,0
1960,Old,14-F04,2,2,,0,0,0,0,0,0
