Year,Age,Site,Plot,Line,BulkDensity,Veg_Type,Veg.Cat,
1960,Old,14-F04,3,2,0,DS,Shrub,
1960,Old,14-F04,3,2,0.0192,LH,Grass/Herb,
1960,Old,14-F04,3,2,0,DH,Grass/Herb,
1960,Old,14-F04,3,2,0,LG,Grass/Herb,
1960,Old,14-F04,3,2,0,DG,Grass/Herb,
1960,Old,14-F04,3,2,0,Li,Litter,
1960,Old,14-F05,1,1,0.0549,LS,Shrub,
1960,Old,14-F05,1,1,0,DS,Shrub,
1960,Old,14-F05,1,1,0.0424,LH,Grass/Herb,
1960,Old,14-F05,1,1,0,DH,Grass/Herb,
1960,Old,14-F05,1,1,0.0096,LG,Grass/Herb,
1960,Old,14-F05,1,1,0,DG,Grass/Herb,
1960,Old,14-F05,1,1,0,Li,Litter,
1960,Old,14-F05,1,2,0.02196,LS,Shrub,
1960,Old,14-F05,1,2,0.02196,DS,Shrub,
1960,Old,14-F05,1,2,0.0516,LH,Grass/Herb,
1960,Old,14-F05,1,2,0,DH,Grass/Herb,
1960,Old,14-F05,1,2,0.048,LG,Grass/Herb,
1960,Old,14-F05,1,2,0,DG,Grass/Herb,
1960,Old,14-F05,1,2,0,Li,Litter,
1960,Old,14-F05,2,1,0.02196,LS,Shrub,
1960,Old,14-F05,2,1,0,DS,Shrub,
1960,Old,14-F05,2,1,0.0376,LH,Grass/Herb,
1960,Old,14-F05,2,1,0,DH,Grass/Herb,
1960,Old,14-F05,2,1,0.0336,LG,Grass/Herb,
1960,Old,14-F05,2,1,0,DG,Grass/Herb,
1960,Old,14-F05,2,1,0,Li,Litter,
1960,Old,14-F05,2,2,0,LS,Shrub,
1960,Old,14-F05,2,2,0,DS,Shrub,
1960,Old,14-F05,2,2,0.102,LH,Grass/Herb,
1960,Old,14-F05,2,2,0,DH,Grass/Herb,
1960,Old,14-F05,2,2,0.0564,LG,Grass/Herb,
1960,Old,14-F05,2,2,0,DG,Grass/Herb,
1960,Old,14-F05,2,2,0,Li,Litter,
1960,Old,14-F05,3,1,0.6222,LS,Shrub,
1960,Old,14-F05,3,1,0,DS,Shrub,
1960,Old,14-F05,3,1,0.0564,LH,Grass/Herb,
1960,Old,14-F05,3,1,0,DH,Grass/Herb,
1960,Old,14-F05,3,1,0.048,LG,Grass/Herb,
1960,Old,14-F05,3,1,0,DG,Grass/Herb,
1960,Old,14-F05,3,1,0,Li,Litter,
1960,Old,14-F05,3,2,0,LS,Shrub,
1960,Old,14-F05,3,2,0,DS,Shrub,
1960,Old,14-F05,3,2,0.0192,LH,Grass/Herb,
1960,Old,14-F05,3,2,0,DH,Grass/Herb,
1960,Old,14-F05,3,2,0.0144,LG,Grass/Herb,
1960,Old,14-F05,3,2,0,DG,Grass/Herb,
1960,Old,14-F05,3,2,0,Li,Litter,
1990,Old,13-42A,1,1,0.03294,LS,Shrub,
1990,Old,13-42A,1,1,0,DS,Shrub,
1990,Old,13-42A,1,1,0.048,LH,Grass/Herb,
1990,Old,13-42A,1,1,0,DH,Grass/Herb,
1990,Old,13-42A,1,1,0.024,LG,Grass/Herb,
1990,Old,13-42A,1,1,0.0048,DG,Grass/Herb,
1990,Old,13-42A,1,1,0,Li,Litter,
1990,Old,13-42A,1,2,0.1098,LS,Shrub,
1990,Old,13-42A,1,2,0.02196,DS,Shrub,
1990,Old,13-42A,1,2,0.2368,LH,Grass/Herb,
1990,Old,13-42A,1,2,0.048,DH,Grass/Herb,
1990,Old,13-42A,1,2,0.0528,LG,Grass/Herb,
1990,Old,13-42A,1,2,0.0384,DG,Grass/Herb,
