year,age,site,plot,plot_size,spp,status,sf,lifol,defol,li1hr,de1hr,li10hr,de10hr,li100hr,de100hr,cbh,lcw,dcw,acfl,cbd,ba_li,ba_gr,ba_ye,ba_nd,ba_tw,ba_br,ba_sn,ba_de
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.006860622,0,0.000948645,0,0,0,0,0.05,0,0.001342303,0.000733494,0.000102587,0,0,0.67937895,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.0972916,0,0.045074762,0,0.035982997,0,0,0,0.1,0.017834936,0.000141878,0.014236636,0.00347235,0.2290518,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Sn,S,0,0,0,0,0,0,0,0,2,0,0.020208287,0,0,0,0,0,0,0,0,7.79412375,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.010004526,0,0.001333678,0,0,0,0,0.1,0,0.00196069,0.001067137,0.000126288,0,0,0.6940678,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.040275935,0,0.018780224,0,0.016018893,0,0,0,0,0.007507505,0.000289898,0.005905616,0.001181123,0.3217408,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.169110312,0,0.080430154,0,0.07635329,0,0.006082401,0,0.3,0.033197616,0.001837679,0.024954047,0.00315874,0.70891375,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.000553234,0,0.000295565,0,0,0,0,0,0,0.000100405,7.01E-05,1.75E-05,0,0,0.1809792,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.077092809,0,0.036155626,0,0.032630407,0,0,0,0.5,0.014587884,0.000933455,0.011324844,0.001572895,0.41859295,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.001074743,0,0.000557808,0,0,0,0,0,0,0.000195378,0.000135365,2.51E-05,0,0,0.18859855,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.270857735,0,0.152705075,0,0.31223491,0,0.118651125,0,1.2,0.085444885,0.179782899,0.042356281,0.002420359,11.28300055,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.0037898,0,0.000883058,0,0,0,0,0,0,0.000721934,0.000423133,6.56E-05,0,0,0.46572295,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.070746285,0,0.033200421,0,0.028885085,0,0.001261626,0,0,0.013409342,0.000664772,0.010394671,0.001611577,0.4301398,0,0,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Ye,S,0,0.04670525,0,0.004953813,0,0.022756339,0,0.088456688,2,0,0.010745202,0.004918216,0.000647134,0,0,2.835655,0,0,0,0,0
1940,Old,13-12A,2,100,ABLA,Li,S,0.197051936,0,0.092296767,0,0.082279257,0,0,0,0.5,0.037162796,0.000316254,0.02893487,0.006889255,0.39597055,0,0,0,0,0,0,0
